sex1st,sex2nd,weight1st,weight2nd
"boy","boy",3740,3740
"boy","girl",3060,3620
"boy","boy",3650,3700
"girl","girl",3688,3726
"boy","girl",3740,3000
"boy","girl",3550,3700
"girl","boy",3850,4020
"boy","girl",3680,4310
"girl","girl",2390,2250
"girl","boy",3600,3250
"boy","boy",4220,4390
"girl","boy",3270,3870
"boy","boy",4120,4460
"girl","girl",3695,2980
"boy","boy",3740,4000
"girl","boy",3470,3210
"boy","girl",3990,3600
"girl","boy",3980,3755
"boy","girl",2870,3300
"girl","girl",3610,3630
"boy","girl",3700,3950
"boy","boy",4000,3700
"girl","girl",3940,3460
"boy","girl",4380,4450
"girl","girl",3164,2732
"boy","girl",3950,3950
"boy","boy",3900,3850
"boy","girl",3700,3900
"boy","boy",3600,3480
"girl","boy",3350,3650
"boy","girl",3900,3400
"girl","girl",3955,3900
"boy","boy",2636,3225
"girl","boy",3200,3800
"girl","girl",3100,3516
"boy","boy",3950,4810
"boy","boy",2070,3850
"girl","girl",3640,3320
"girl","boy",2920,3100
"girl","boy",3450,3280
"boy","boy",3300,3860
"boy","girl",3570,3550
"girl","girl",3720,3590
"girl","boy",4050,3800
"girl","girl",3600,3000
"girl","girl",3570,3350
"girl","girl",3750,4100
"girl","boy",3300,3550
"boy","boy",3600,3760
"boy","boy",4350,4220
"girl","boy",3550,3300
"girl","boy",4000,3700
"boy","girl",3600,4025
"girl","boy",3080,3700
"girl","girl",3550,4150
"boy","girl",3890,3360
"boy","girl",4048,3636
"girl","boy",4250,4660
"boy","boy",3730,4020
"boy","boy",3550,4000
"girl","boy",3040,3700
"boy","boy",3200,3750
"boy","girl",3280,2850
"girl","girl",3370,4500
"boy","boy",3250,3380
"girl","boy",3390,3410
"girl","girl",4100,4400
"boy","girl",3670,4600
"girl","boy",2950,3644
"girl","girl",2550,1474
"girl","boy",3160,3540
"girl","girl",3140,3880
"girl","girl",4050,4300
"boy","girl",3800,3902
"girl","girl",3400,3600
"boy","girl",3450,3290
"boy","girl",3230,4150
"girl","boy",4200,3970
"girl","boy",3600,3750
"girl","girl",4570,4100
"boy","boy",3900,3900
"boy","boy",3600,3100
"boy","girl",3990,3480
"boy","girl",4850,4860
"girl","boy",3300,3600
"girl","boy",3780,4350
"boy","boy",3360,4430
"boy","boy",3580,3220
"boy","girl",3650,3680
"boy","boy",4450,2010
"boy","girl",1950,3460
"girl","boy",3190,4140
"boy","girl",4200,4000
"boy","girl",3170,3910
"girl","girl",3700,3800
"girl","boy",3700,4400
"boy","girl",2850,4050
"boy","girl",3190,3350
"girl","girl",3850,3290
"boy","boy",3150,3700
"boy","boy",3400,3670
"boy","boy",3890,3890
"boy","boy",3500,3600
"girl","boy",3500,4818
"girl","girl",2100,3028
"girl","boy",3050,3500
"girl","girl",3570,3470
"boy","girl",3900,3700
"girl","boy",2820,3300
"girl","boy",3250,3650
"boy","boy",2575,2750
"girl","boy",1500,3320
"girl","girl",2950,2550
"girl","boy",3230,3950
"boy","girl",3600,4100
"girl","boy",3800,4080
"boy","girl",3980,3070
"girl","boy",3090,3660
"boy","boy",3260,3420
"girl","boy",2330,3800
"girl","girl",2040,3460
"girl","boy",3400,3350
"girl","boy",3050,3178
"girl","girl",3500,3500
"boy","girl",3600,3750
"girl","girl",3600,4550
"girl","girl",3830,3800
"girl","girl",3300,3200
"girl","girl",3852,4128
"boy","girl",3700,3532
"boy","girl",3400,3590
"girl","girl",3230,4035
"girl","girl",2940,3060
"girl","girl",4000,3875
"girl","boy",3330,2850
"girl","boy",3250,3400
"boy","boy",3420,3280
"boy","boy",3250,3600
"girl","boy",4200,4500
"girl","girl",1600,3462
"girl","girl",3730,3650
"girl","boy",3085,3900
"boy","girl",3100,3100
"boy","girl",3770,3460
"girl","girl",4100,4700
"girl","boy",3830,3650
"girl","girl",3000,3000
"girl","girl",3450,3400
"girl","girl",4010,4020
"boy","boy",3750,4000
"girl","girl",3500,3778
"girl","girl",2480,3300
"boy","girl",3400,4574
"boy","boy",4120,4530
"girl","boy",3550,3600
"boy","boy",3640,3980
"girl","boy",2950,3200
"boy","girl",3022,2962
"boy","girl",3620,3700
"girl","girl",4360,4020
"boy","girl",4240,5030
"boy","boy",3540,3440
"boy","boy",4130,5000
"boy","girl",3550,3270
"girl","boy",3400,2850
"boy","boy",4200,4200
"boy","boy",4000,4200
"girl","boy",3350,4250
"girl","girl",3760,3480
"girl","girl",3850,4025
"girl","boy",3500,3300
"boy","girl",3250,3100
"girl","girl",3470,3470
"boy","girl",4150,3750
"girl","girl",3348,3380
"girl","boy",3350,3500
"boy","boy",3550,3760
"boy","girl",4000,4850
"boy","girl",3550,4500
"girl","girl",3120,3286
"girl","girl",3450,4120
"girl","girl",4015,4160
"boy","boy",3620,3710
"girl","boy",3300,4200
"boy","girl",3600,3400
"girl","boy",3750,4030
"boy","girl",4080,4260
"girl","boy",3120,4060
"girl","girl",3200,3200
"boy","girl",3740,4080
"girl","boy",3200,3450
"girl","boy",2750,3400
"girl","boy",3580,4200
"girl","boy",3900,3650
"girl","boy",4300,4260
"boy","boy",3390,2466
"boy","girl",3850,3100
"boy","boy",3650,3450
"girl","girl",3100,3425
"girl","boy",3300,3600
"boy","boy",2670,3970
"boy","girl",3850,4000
"boy","boy",3680,3700
"girl","boy",4000,3700
"boy","boy",4350,3950
"girl","boy",3760,3250
"boy","boy",3730,3710
"girl","girl",3350,2684
"boy","boy",3530,3500
"girl","boy",3550,3425
"boy","girl",3550,3390
"boy","boy",3660,3350
"boy","boy",3300,3380
"boy","boy",3000,3700
"boy","girl",3300,2880
"boy","girl",4840,3680
"boy","girl",3800,4800
"boy","boy",3100,3670
"boy","girl",3460,3225
"boy","girl",3450,3500
"boy","girl",2680,3220
"boy","girl",3810,3900
"girl","girl",3850,4415
"boy","boy",4200,3160
"boy","girl",4260,4440
"girl","girl",4370,3690
"boy","girl",3500,3800
"boy","girl",3540,4080
"boy","girl",3250,3750
"boy","girl",3900,3850
"boy","girl",3940,4520
"boy","girl",3620,3250
"boy","boy",3100,3550
"girl","boy",4140,4880
"boy","boy",3510,3420
"boy","girl",2900,3400
"boy","girl",4500,4620
"boy","girl",3400,3200
"girl","boy",3000,3880
"girl","girl",2880,3550
"girl","girl",3060,3900
"girl","girl",3820,3520
"girl","girl",3130,4000
"girl","boy",4700,4800
"girl","boy",3520,3690
"boy","girl",2610,2600
"boy","girl",3980,4458
"girl","boy",3850,4110
"girl","girl",3450,3500
"girl","girl",3350,4200
"girl","girl",2600,3684
"girl","boy",3400,3800
"girl","girl",4100,3038
"boy","girl",3850,2950
"girl","boy",3940,4600
"boy","girl",3450,3325
"girl","girl",3650,3400
"girl","boy",3800,3660
"boy","girl",3740,3450
"girl","boy",3330,4600
"girl","boy",3680,3840
"boy","girl",4200,4632
"boy","boy",4080,4800
"girl","girl",3550,4300
"girl","boy",4330,4100
"boy","girl",3980,4180
"girl","girl",3920,4220
"girl","girl",3650,4410
"boy","boy",3650,3400
"girl","boy",3500,4858
"girl","boy",3800,3532
"boy","boy",3480,3660
"girl","girl",3430,3400
"boy","boy",2450,2950
"girl","girl",3900,4250
"boy","girl",3340,4340
"boy","girl",4168,4702
"boy","girl",4025,3450
"girl","girl",2750,3350
"girl","boy",3800,3600
"boy","boy",3060,3750
"girl","girl",3200,3780
"boy","boy",3630,4060
"boy","girl",3800,3300
"girl","boy",2680,3230
"girl","girl",3650,4010
"boy","girl",3950,3502
"boy","girl",3910,4000
"boy","girl",3500,3546
"girl","girl",3350,3650
"girl","girl",3500,3450
"girl","boy",3200,4000
"boy","boy",3450,4360
"boy","boy",3540,3125
"boy","boy",3450,3086
"boy","girl",3380,2860
"girl","boy",3850,3900
"girl","boy",3600,3650
"girl","boy",3550,4320
"girl","boy",3090,3150
"boy","boy",4140,3060
"girl","girl",3250,2840
"boy","girl",3400,3100
"boy","boy",3960,3588
"boy","boy",3285,3820
"girl","girl",3000,3650
"boy","boy",3680,3180
"girl","girl",4100,3500
"boy","boy",4040,3820
"boy","boy",4050,3940
"boy","girl",2535,1835
"boy","boy",3920,3850
"girl","girl",3236,3310
"boy","boy",3770,3070
"girl","girl",3050,4000
"girl","girl",2990,3390
"girl","girl",2750,3250
"girl","girl",3775,4235
"girl","boy",3590,4160
"boy","boy",3190,3800
"boy","girl",3900,2500
"boy","girl",3450,3120
"boy","girl",3200,2300
"boy","girl",3920,3580
"girl","boy",3600,3200
"girl","girl",3000,2169
"girl","boy",2700,3140
"boy","boy",3825,3020
"boy","boy",3550,3500
"girl","boy",3650,4250
"boy","boy",3270,2560
"girl","girl",2790,3650
"boy","boy",3380,3850
"girl","boy",2865,2995
"girl","boy",4160,4370
"boy","girl",3700,4190
"boy","girl",4240,3950
"girl","boy",3800,4290
"boy","boy",2920,3580
"girl","boy",3700,4400
"girl","girl",3050,2500
"girl","boy",3170,3540
"boy","girl",4350,3500
"boy","girl",3450,4800
"girl","boy",3710,3280
"boy","girl",3850,4100
"boy","boy",3800,4000
"girl","girl",3360,3790
"girl","boy",3300,4150
"boy","girl",3500,3600
"girl","boy",3546,3050
"girl","boy",3450,4030
"girl","boy",2780,3150
"boy","boy",3400,3800
"girl","boy",3900,3800
"boy","boy",3615,4240
"girl","boy",3500,4200
"girl","boy",3800,3550
"boy","girl",3000,3250
"boy","girl",3600,3420
"girl","boy",3450,3870
"boy","girl",3390,3220
"boy","girl",3780,3620
"girl","boy",3025,3730
"girl","girl",3300,3550
"girl","girl",3750,2900
"girl","girl",2950,3400
"boy","girl",3420,3420
"girl","girl",3940,4350
"girl","boy",3400,3450
"boy","boy",3875,3750
"girl","boy",3940,3120
"girl","boy",3450,4050
"girl","boy",2650,2990
"boy","boy",3900,3800
"boy","girl",3600,3734
"boy","girl",3080,3700
"boy","girl",3820,3720
"girl","girl",3550,3130
"girl","girl",4000,3910
"girl","boy",2660,1992
"girl","girl",3070,3150
"girl","boy",3850,4010
"boy","girl",3080,3740
"girl","girl",3000,3350
"girl","boy",3410,3850
"boy","girl",3525,3200
"boy","girl",3600,3820
"boy","girl",3680,3320
"girl","boy",2035,4200
"boy","boy",3620,3950
"boy","girl",3630,3610
"girl","girl",3870,3200
"girl","boy",3150,3880
"boy","boy",3300,2950
"girl","girl",3700,3520
"boy","girl",1589,3400
"boy","boy",3800,3516
"girl","girl",3150,2810
"girl","boy",3450,4190
"girl","girl",4230,4350
"girl","boy",4400,3700
"girl","boy",3790,4170
"boy","boy",3600,3490
"boy","girl",3100,3750
"boy","boy",4038,4430
"girl","girl",3750,3600
"girl","boy",4400,4374
"girl","girl",3800,4700
"boy","boy",3760,3450
