skintemp,log10tewl,group
21.8,1.468,"Fish processing"
21.3,1.375,"Fish processing"
25.4,1.831,"Fish processing"
24.3,1.787,"Fish processing"
18.9,1.427,"Fish processing"
22.2,1.629,"Fish processing"
21.9,1.45,"Fish processing"
21.2,1.628,"Fish processing"
28.6,1.732,"Fish processing"
20.3,1.537,"Fish processing"
25.7,1.622,"Fish processing"
25.6,1.787,"Fish processing"
22.4,1.396,"Fish processing"
19.4,1.396,"Fish processing"
26.5,1.632,"Fish processing"
22.2,1.582,"Fish processing"
22.4,1.504,"Fish processing"
27,1.65,"Fish processing"
29.5,1.797,"Fish processing"
20.1,1.384,"Fish processing"
20.3,1.504,"Fish processing"
16.9,1.615,"Fish processing"
31,1.907,"Reference"
31.4,1.904,"Reference"
28.2,1.744,"Reference"
31.4,1.904,"Reference"
25.3,1.688,"Reference"
23.4,1.435,"Reference"
32.9,1.865,"Reference"
28.2,1.963,"Reference"
28.6,1.872,"Reference"
30.8,1.806,"Reference"
28.6,1.7,"Reference"
31.8,1.757,"Reference"
33.8,1.938,"Reference"
29.3,1.857,"Reference"
30.6,1.852,"Reference"
34,1.832,"Reference"
32.3,1.887,"Reference"
