ratid,group,lowdose,highdose
1,"progesteron",16.5,20
2,"progesteron",16,19.75
3,"progesteron",15.75,19
4,"progesteron",16.75,20.25
5,"progesteron",15.5,20.75
6,"progesteron",15.25,19.25
7,"progesteron",15.5,18.5
8,"progesteron",16.5,19
9,"progesteron",17,20.5
10,"progesteron",16.5,20
11,"control",16.75,21
12,"control",14,20
13,"control",15.5,19.25
14,"control",14,18.5
15,"control",18.25,22.25
16,"control",15,19
17,"control",14.75,18.75
18,"control",16,19.25
19,"control",16.75,21.5
20,"control",16.75,20
